0,Gorillaz
1,Rick Astley
3,Darude
4,Discord
5,Smash Mouth
6,Foster The People
9,Getter Jaani
10,Caramella Girls
11,ACE
12,Avril Lavigne
13,Green Day
14,Yes
2,Toby Fox
7,a-ha
